Story line,file_name,caption,Chn,??????,mount_point
0,intro_jiwoo.jpg,"This is story of a boy 
 who did not do so 
 well in math, Jiwoo.",这是一个数学成绩不太好的男孩 Jiwoo 的故事。,"?? ?? ??? ????? ?? ????? ?? ?? ???? ??? ????? ???? ?? ???? ??, ?????",1
1,intro_hakseong.jpg,"And a mathematician who 
 tried his best to hide his 
 identity, Mr. Hakseong.",还有一个极力隐藏自己身份的数学家学城先生。,"?? ?? ??????? ????????? ???? ????? ?????? ?? ???? ????? ??, ??. ??????????",0
2,intro_boram.jpg,"And a girl full of sense 
 of responsibity and honesty.",和一个充满责任感和诚实的女孩。,?? ?????????? ?? ???????? ?? ????? ?? ??? ??????,1
3,1.jpg,"Jiwoo: i am finding it hard to keep up
 with this hard curriculum specially in math",Jiwoo：我发现很难跟上这个艰苦的课程，尤其是在数学方面,"????: ???? ?? ???? ????????? ?? ??? ?????? ?????? ??? ?????? ?? ??? ??, ????? ??? ?? ???? ???",0
4,1+1.jpg,"Jiwoo: this class is full 
 of geniuses, i am not
  one of them",Jiwoo：这个班全是天才，我不是其中之一,"????: ?? ???? ?????? ?? ??? ??, ??? ????? ?? ???? ???",0
5,2.jpg,"principal/teacher: 
 i think you should transfer to another school, 
 your grades are dropping very quickly",校长/老师：我觉得你应该转学，你的成绩下降得很快,"?????????/????: ???? ???? ?? ?? ???? ????? ????? ??? ???????? ?? ???? ?????, ???? ????? ???? ????? ??? ??? ???",1
6,2+1.jpg,"Jiwoo: how can i tell my mother 
 that i am failing in math class?",Jiwoo：我怎么能告诉我妈妈我数学课不及格呢？,????: ??? ???? ??? ?? ???? ??? ???? ??? ?? ??? ???? ?? ????? ??? ???? ?? ??? ????,1
7,3.jpg,"teacher: Jiwoo was caught 
 last night with beer bottles, 
 who were you taking these for?",老师：Jiwoo 昨晚拿着啤酒瓶被抓了，你拿这些给谁？,"????: ???? ?? ??? ???? ?? ?????? ?? ??? ????? ??? ??, ??? ?? ????? ??? ?? ?? ??? ???",1
8,3+1.jpg,Jiwoo: it's for me. no one else :(,Jiwoo：这是给我的。没有别人了 ：（,????: ?? ???? ??? ??? ??? ?? ???? :(,0
9,4.jpg,"the security guard who caught 
 Jiwoo with beer bottles catches 
 him again lurking around",用啤酒瓶抓到智宇的保安再次抓到他潜伏,???? ?? ???? ?? ?????? ?? ??? ?????? ???? ??????? ????? ??? ??? ?? ???? ?? ???? ???? ??,1
10,4+1.jpg,"I can only wander around now. 
 It's getting dark. The old security 
 guard or janitor guy! People said 
 that he is a defect from North Korea
 ... Damn commies!
 After all, He is to blame! What?
  Here he comes again?!",我现在只能四处游荡。天快黑了。老保安或看门人！人们说他是朝鲜的缺陷……该死的共产党员！毕竟，他是罪魁祸首！什么？他又来了？！,"??? ?? ???? ???-??? ??? ???? ???? ?????? ?? ??? ??? ?????? ??????? ????? ?? ???????! ????? ?? ??? ?? ?? ????? ?????? ?? ?? ??? ?? ... ??????? ?? ???????! ???????, ??? ??? ???? ??! ????? ???? ?? ??? ?? ??? ?? ?!",1
11,4+2.jpg,"security guard/janitor mr
  Hakseong agrees to let him 
 stay with him at night",保安/看门人 Hakseong 先生同意让他晚上陪在他身边,??????? ?????/??????? ??. ????????? ??? ??? ??? ???? ??? ???? ???? ?? ??? ???? ?? ???? ??,0
12,5.jpg,"Hakseong: what are those? 
 are those his math homework? 
 let me take a look.",Hakseong：那些是什么？这些是他的数学作业吗？让我看一看。,???????: ?? ???? ???? ???? ?? ???? ???? ?? ??????? ??? ???? ????? ???,1
13,5+1.jpg,"Hakseong sits throught the night 
 to solve questions for Jiwoo's 
 homework without his knowledge",Hakseong 彻夜坐着在 Jiwoo 不知情的情况下解决他的家庭作业问题,????????? ???? ?? ??????? ?? ?????? ?? ???? ??????? ?? ???? ?? ???? ?? ??? ??? ?? ????? ??,0
14,5+2.jpg,"the next day, in class Jiwoo realises 
 that all of his solutions are correct! 
 how did this happen?",第二天，在课堂上 Jiwoo 意识到他所有的解决方案都是正确的！这怎么发生的？,"???? ???, ????? ??? ???? ?? ??? ???? ?? ?? ???? ??? ?????? ??? ???! ?? ???? ?? ????",0
15,6.jpg,"Jiwoo realises that probably 
 the security gurad/janitor
  solved them at night when 
 he was asleep",Jiwoo 意识到可能是保安/看门人在他睡着的晚上解决了他们,???? ?? ??? ???? ?? ?? ???? ??????? ?????/??????? ?? ?????? ??? ??? ?? ??????? ?? ?? ?? ??? ??,0
16,6+1.jpg,"Jiwoo begs Hakseong again,
  but this time to teach him math",Jiwoo再次求Hakseong，但这次是教他数学,"???? ??? ?? ??????? ?? ??? ?????? ??, ????? ?? ??? ??? ???? ?????? ?? ???",0
17,7.jpg,"In order to persuade Mr. Hakseong to teach him, 
 Jiwoo even bought some of his favorite drinks 
 and left them in his refrigerator",为了说服学城老师教他，智宇还买了一些自己喜欢的饮料放在冰箱里,"???? ????????? ?? ?????? ?? ??? ???? ???? ?? ???, ???? ?? ???? ??? ??????? ??? ?? ????? ?? ?????? ???? ??????????? ??? ???? ?????",1
18,7+1.jpg,"finally mr Hakseong
  consented and said
  he would teach him",最后学成先生同意了，说要教他,??? ??? ???? ????????? ?? ????? ?????? ?? ?? ??? ?? ?? ??? ????????,1
19,8.jpg,"Hakseong: I would teach you. 
 But don't you dare telling anyone about it",Hakseong：我会教你。但你不敢告诉任何人,Hakseong: ??? ??????? ????????? ????? ?? ???? ???? ??? ???? ?? ????? ?? ?????? ???? ????,1
20,8+1.jpg,"And you shall not ask
  me anything besides Math.",你不应该问我除了数学之外的任何问题。,?? ??? ????? ???? ?? ???? ?? ??? ? ??????,1
21,9.jpg,"And if you study just for getting 
 higher grade, forget about it.",而且，如果您只是为了获得更高的成绩而学习，那就算了。,"?? ??? ?? ???? ????? ??????? ???? ?? ??? ?????? ???? ???, ?? ??? ??? ?????",1
22,9+1.jpg,"Mr. Hakseong taught Jiwoo to focus on truth,
  instead of answers. Because if you focus 
 on only the answers, you would neglect 
 about the true. Math is about the truth.",Hakseong 先生教导 Jiwoo 专注于真相，而不是答案。因为如果你只关注答案，你就会忽视真相。数学是关于真理的。,"???? ????????? ?? ???? ?? ?????? ?? ???? ?????? ?? ????? ???? ??????? ??????? ??? ?? ???? ??????? ?? ????? ????????? ???? ???, ?? ?? ???? ?? ??????? ??????? ???? ?????? ?? ???? ??? ???",1
23,10.jpg,"And the way to learn math is to make friend 
 with it. So why don't you calculate square 
 root 2 to the 200th decimal place manually?",学习数学的方法就是和它交朋友。那么，为什么不手动计算平方根 2 到小数点后第 200 位呢？,?? ???? ????? ?? ????? ?? ???? ?????? ????? ?? ?? ??????? 2 ?? ????? ?? 200??? ????? ?? ???????? ??? ?? ????? ???? ??????? ?????,0
24,10+1.jpg,"Mr. Hakseong taught Jiwoo to make friends
 with numbers by calculating root",Hakseong先生通过计算根教Jiwoo与数字交朋友,???? ????????? ?? ???? ?? ??? ?? ???? ???? ???????? ?? ?????? ???? ??????,1
25,11.jpg,"And sometimes, Hakseong is not that ""cold"".
 When it comes to math, Hakseong is full of
  enthusiasm. He can spend hours adoring 
 math formula, something called ""Euler""",而有时候，学城也没有那么“冷”。谈到数学，Hakseong 充满了热情。他可以花几个小时崇拜数学公式，一种叫做“欧拉”的东西,"?? ??? ???, Hakseong ?? ""????"" ???? ??? ?? ???? ?? ??? ??? ??, ?? ??????? ?????? ?? ??? ???? ??? ?? ???? ?? ???????? ?? ????? ??? ????? ???? ???? ??, ???? ""????"" ??? ???? ??",0
26,12.jpg,"Boram: those guys are getting away 
 with their mistakes, why are you 
 covering for them?",Boram：那些人都在逃避他们的错误，你为什么要包庇他们？,"????: ?? ??? ???? ??????? ?? ?? ??? ???, ??? ?????? ????? ???? ??? ???",0
27,12+1.jpg,"Jiwoo: It doesn't matter, 
 I am going to be fine!",Jiwoo：没关系，我会没事的！,"????: ??? ??? ????, ??? ??? ?? ??????!",0
28,13.jpg,"boram was surprised by how
  well Jiwoo was doin in class",宝蓝对智宇在课堂上的表现感到惊讶,???? ????? ?? ?? ???? ????? ??? ????? ????? ?? ??? ??,0
29,13+1.jpg,"boram sniffed around to find 
 that Jiwoo is solving math 
 problems withan old man",宝蓝四处嗅探，发现智宇正在和一个老人一起解数学题,???? ?? ??? ??? ?? ???? ?? ????? ???? ?? ??? ???? ?? ???? ?? ?? ??? ??,1
30,14.jpg,"she tries to get herself to 
 stay in the class with mr 
 Hakseong by promising 
 that she will never tell anyone",她承诺永远不会告诉任何人，试图让自己留在 Hakseong 老师的班级里,"?? ?? ???? ???? ?? ?? ??? ???? ?? ???? ??????, ?????? ??????? ?? ??? ????? ??? ???? ?? ??? ??? ?? ???? ?? ????? ???? ??",0
31,14+1.jpg,"hakseong finally gives up 
 and lets her stay and teach 
 her math as well",hakseong终于放弃了，让她留下来教她数学,????????? ??? ??? ??? ??? ???? ?? ?? ??? ???? ???? ?? ?? ??? ?? ??? ???? ?? ?????? ??,1
32,15.jpg,"hakseong: mathematics is beautiful! 
 The pi can be played on the piano!",hakseong：数学很美！圆周率可以在钢琴上弹奏！,???????: ???? ????? ??! ??? ?? ?????? ?? ????? ?? ???? ??!,1
33,15+1.jpg,"hak taught boram that pi 
 can be learnt on the piano,
  if each note can be replaced
  with a number",hak 教 boram 可以在钢琴上学习 pi，如果每个音符都可以用数字代替,"??? ?? ???? ?? ?????? ?? ??? ?? ?????? ?? ???? ?? ???? ??, ??? ???????? ??? ?? ?? ?????? ?? ???? ?? ???? ??",1
34,15+2.jpg,"numbers after decimal can
  be played into a beautiful 
 melody on a piano",小数点后的数字可以在钢琴上演奏成优美的旋律,????? ?? ??? ?? ???????? ?? ?????? ?? ?? ????? ??? ??? ????? ?? ???? ??,1
35,16.jpg,"The math olympiad is a decisive test.
  Students who pass will 
 be allowed to graduate.",数学奥林匹克竞赛是一项决定性的考试。通过考试的学生将被允许毕业。,???? ???????? ?? ???????? ??????? ??? ???????? ??????? ?? ?????? ???? ?? ?????? ?? ??????,0
36,16+1.jpg,"the olympiad was a difficult exam. 
 Everyone started preparing for it.",奥林匹克竞赛是一场艰难的考试。每个人都开始为此做准备。,???????? ?? ???? ??????? ??? ??? ???? ?????? ??? ?? ???,1
37,17.jpg,"Boram was forced to a tutor ""Euler Studio"" 
 session to prepare for the math Olympia.",Boram 被迫参加导师“Euler Studio”课程，为数学奥林匹亚做准备。,???? ??????? ?? ?????? ?? ??? ???? ?? ?? ?????? "???? ????????" ???? ?? ??? ????? ???? ??? ???,1
38,17+1.jpg,She was not comfortable with this exclusive tuition,她对这种独家学费感到不舒服,?? ?? ????? ?????? ?? ??? ???? ??,1
39,18.jpg,Jiwoo continues to be mentored by Mr. Hakseong.,Jiwoo 继续接受 Hakseong 先生的指导。,???? ?? ???? ????????? ?????? ??????? ???? ???? ???? ???,0
40,18+1.jpg,"Jiwoo and Hakseong and 
 Boram continue with classes",Jiwoo、Hakseong 和 Boram 继续上课,???? ?? ??????? ?? ???? ?? ??????? ???? ???,1
41,19.jpg,"many days pass, days turn into months",许多天过去了，日子变成了几个月,"?? ??? ??? ???? ???, ??? ?????? ??? ??? ???? ???",0
42,20.jpg,"Jiwoo is much better in math,
  he can even argue with his 
 teachers over solutions",Jiwoo 的数学要好得多，他甚至可以和老师争论解决方案,"???? ???? ??? ???? ????? ??, ?? ?????? ?? ??? ???? ???????? ?? ??? ?? ?? ???? ??",1
43,20+1.jpg,"The Euler Studio started to teach Boram 
 how to solve a specific set of questions.",Euler Studio 开始教 Boram 如何解决一组特定的问题。,???? ???????? ?? ???? ?? ?? ?????? ???? ???? ?? ???????? ?? ?? ??????? ??? ?? ???? ?? ???? ????,1
44,21.jpg,"on the day of the olympiad, 
 she realises that the questions 
 are exact copy of the one's
  she solved in the tuition",在奥林匹克竞赛的那天，她意识到这些问题与她在补习班中解决的问题完全相同,"???????? ?? ???, ??? ??? ???? ?? ?? ?????? ??? ?? ????? ???? ???, ???? ???? ?????? ??? ?? ???? ??",1
45,21+1.jpg,"Boram felt furious and utter shame for 
 what her parents set her into. This was cheating! 
 She was devastated and gave up on 
 the Olympiad on the spot.",Boram 对父母让她陷入的境地感到愤怒和极度羞愧。这是作弊！她悲痛欲绝，当场放弃了奥林匹克竞赛。,"???? ?? ?????? ??? ?? ???? ????-???? ?? ??? ?? ??? ????, ???? ??? ??? ???? ????????? ????? ???? ?? ???? ??! ?? ???? ?? ?? ?? ???? ???????? ??? ???? ?? ?? ??? ??? ???",0
46,22.jpg,"Boram notifies the concerned
  people through a facebook page, 
 anonymously, about the leaked questions",Boram 通过 Facebook 页面以匿名方式通知有关人员泄露的问题,???? ??? ??? ???????? ?? ???? ??? ?????? ??? ?? ?? ?????? ??? ?? ?????? ?? ??????? ????? ?? ????? ???? ??,1
47,22+1.jpg,"the math teacher accuses 
 Jiwoo of leasking the papers",数学老师指责智宇泄露试卷,???? ?? ?????? ???? ?? ???? ??? ???? ?? ???? ????? ???,0
48,23.jpg,"when the authorities see Jiwoo going 
 in the printer room, Jiwoo could not defend himself",当当局看到 Jiwoo 进入打印机室时，Jiwoo 无法为自己辩护,?? ?????????? ?? ???? ?? ??????? ??? ??? ???? ???? ?? ???? ???? ???? ???? ?? ???,1
49,23+1.jpg,"he was expelled from the school
  and was forced transfer to 
 a community school",他被学校开除并被迫转到社区学校,?????? ????? ?? ????? ???? ??? ?? ?? ?? ????????? ????? ??? ??????????? ???? ?? ??? ????? ???? ??? ??,0
50,24.jpg,"new challenges lied ahead of 
 Jiwoo as he changed schools",Jiwoo 转校后面临新的挑战,?? ???? ????? ???? ?? ???? ?? ????? ?? ????????? ???,1
51,25.jpg,"But Jiwoo was actually printing out a Mathematic
  paper for Mr. Hakseong to read so that 
 Mr. Hakseong's desire on math could be satisfied.",可智宇其实是在打印一份数学论文给学成先生看，满足学成先生对数学的渴望。,????? ???? ?????? ??? ???? ????????? ?? ????? ?? ??? ?? ???? ?? ???? ?????? ?? ??? ?? ???? ???? ????????? ?? ???? ?? ????? ?? ??????? ???? ?? ????,0
52,25+1.jpg,"boram believed in truth, 
 and she could not stand 
 being in a school which 
 was so dishonest, so she 
 joined the school Jiwoo 
 transferred to.",boram 相信真理，她无法忍受在一个如此不诚实的学校里，所以她加入了 Jiwoo 转学的学校。,"???? ?????? ??? ??????? ???? ??, ?? ?? ?? ??? ????? ??? ???? ???????? ???? ?? ???? ?? ?? ???? ?????? ??, ????? ???? ?? ????? ??? ?????? ???? ???? ???? ?? ??????????? ???? ??? ???",1
